# 大学生竞赛列表配置文件
# 格式：竞赛名称,官方网站URL

# A类竞赛
中国国际大学生创新大赛,http://www.moe.gov.cn/
挑战杯全国大学生课外学术科技作品竞赛,http://www.tiaozhanbei.net/
全国大学生数学建模竞赛,http://www.mcm.edu.cn/
全国大学生电子设计竞赛,http://www.nuedc.com.cn/

# B类竞赛
全国大学生智能汽车竞赛,http://www.smartcar.org.cn/
全国大学生英语竞赛,http://www.chinaneccs.cn/
全国大学生广告艺术大赛,http://www.sun-ada.net/

# 国际竞赛
国际大学生程序设计竞赛,https://icpc.global/
美国大学生数学建模竞赛,https://www.comap.com/
